channelName,userName,dateTime,eventType,guildName,guildId,userId,channelId,eventTime,eventDate
On Stream,qStivi,2023-11-27T12:39:29.768655,joined,Knäckebrot,703363806356701295,219108246143631364,1133441608776421548,2023-11-27T12:39:29.768655,2023-11-27
DnD An Tús,qStivi,2023-11-27T12:39:34.857291,joined,Knäckebrot,703363806356701295,219108246143631364,1078035698323574957,2023-11-27T12:39:34.857291,2023-11-27
DnD,qStivi,2023-11-27T12:39:38.046501,joined,Knäckebrot,703363806356701295,219108246143631364,755491203067281468,2023-11-27T12:39:38.046501,2023-11-27
Nerd shit,qStivi,2023-11-27T12:39:41.387797,joined,Knäckebrot,703363806356701295,219108246143631364,1031897975292694558,2023-11-27T12:39:41.387797,2023-11-27
On Stream,qStivi,2023-11-27T12:39:44.938646,joined,Knäckebrot,703363806356701295,219108246143631364,1133441608776421548,2023-11-27T12:39:44.938646,2023-11-27
On Stream,qStivi,2023-11-27T12:39:47.574863,left,Knäckebrot,703363806356701295,219108246143631364,1133441608776421548,2023-11-27T12:39:47.574863,2023-11-27
Just talking,qStivi,2023-11-27T12:40:53.243419,joined,Knäckebrot,703363806356701295,219108246143631364,703363806356701299,2023-11-27T12:40:53.243419,2023-11-27
Just talking,qStivi,2023-11-27T12:40:54.154439,left,Knäckebrot,703363806356701295,219108246143631364,703363806356701299,2023-11-27T12:40:54.154439,2023-11-27
Just talking,qStivi,2023-11-27T12:41:02.164222,joined,Knäckebrot,703363806356701295,219108246143631364,703363806356701299,2023-11-27T12:41:02.164222,2023-11-27
Just talking,qStivi,2023-11-27T12:41:07.017177,left,Knäckebrot,703363806356701295,219108246143631364,703363806356701299,2023-11-27T12:41:07.017177,2023-11-27
On Stream,qStivi,2023-11-27T12:46:33.178999,joined,Knäckebrot,703363806356701295,219108246143631364,1133441608776421548,2023-11-27T12:46:33.178999,2023-11-27
DnD An Tús,qStivi,2023-11-27T12:46:35.054217,joined,Knäckebrot,703363806356701295,219108246143631364,1078035698323574957,2023-11-27T12:46:35.054217,2023-11-27
DnD,qStivi,2023-11-27T12:46:36.226896,joined,Knäckebrot,703363806356701295,219108246143631364,755491203067281468,2023-11-27T12:46:36.226896,2023-11-27
On Stream,qStivi,2023-11-27T12:46:37.393746,joined,Knäckebrot,703363806356701295,219108246143631364,1133441608776421548,2023-11-27T12:46:37.393746,2023-11-27
On Stream,qStivi,2023-11-27T12:46:38.672957,left,Knäckebrot,703363806356701295,219108246143631364,1133441608776421548,2023-11-27T12:46:38.672957,2023-11-27
Just talking,qStivi,2023-11-27T12:47:25.741242,joined,Knäckebrot,703363806356701295,219108246143631364,703363806356701299,2023-11-27T12:47:25.741242,2023-11-27
Just talking,qStivi,2023-11-27T12:47:27.027868,left,Knäckebrot,703363806356701295,219108246143631364,703363806356701299,2023-11-27T12:47:27.027868,2023-11-27
Just talking,qStivi,2023-11-27T12:47:32.025118,joined,Knäckebrot,703363806356701295,219108246143631364,703363806356701299,2023-11-27T12:47:32.025118,2023-11-27
Just reee,qStivi,2023-11-27T12:47:35.290886,joined,Knäckebrot,703363806356701295,219108246143631364,757680598172303599,2023-11-27T12:47:35.290886,2023-11-27
yo,qStivi,2023-11-27T12:47:36.560917,joined,Knäckebrot,703363806356701295,219108246143631364,835235972920115240,2023-11-27T12:47:36.560917,2023-11-27
gummel,qStivi,2023-11-27T12:47:37.759756,joined,Knäckebrot,703363806356701295,219108246143631364,801134075469103175,2023-11-27T12:47:37.759756,2023-11-27
Nerd shit,qStivi,2023-11-27T12:47:38.972354,joined,Knäckebrot,703363806356701295,219108246143631364,1031897975292694558,2023-11-27T12:47:38.972354,2023-11-27
DnD,qStivi,2023-11-27T12:47:40.171207,joined,Knäckebrot,703363806356701295,219108246143631364,755491203067281468,2023-11-27T12:47:40.171207,2023-11-27
DnD An Tús,qStivi,2023-11-27T12:47:41.281280,joined,Knäckebrot,703363806356701295,219108246143631364,1078035698323574957,2023-11-27T12:47:41.281280,2023-11-27
On Stream,qStivi,2023-11-27T12:47:42.478610,joined,Knäckebrot,703363806356701295,219108246143631364,1133441608776421548,2023-11-27T12:47:42.478610,2023-11-27
On Stream,qStivi,2023-11-27T12:47:43.654267,left,Knäckebrot,703363806356701295,219108246143631364,1133441608776421548,2023-11-27T12:47:43.654267,2023-11-27
